epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,8279.17,1.30192,0.7704,0.94821,0.71497,0.55549,0.62869,0.3604,1.4351,0.96196,1.00102,0.000706335,0.000706335,0.000706335
57,8425.02,1.33234,0.79827,0.94852,0.72574,0.54705,0.62677,0.3591,1.41927,0.92685,0.99588,0.00069682,0.00069682,0.00069682
58,8571.34,1.29854,0.76893,0.95097,0.72685,0.55725,0.63084,0.36195,1.42642,0.92512,0.97918,0.000687222,0.000687222,0.000687222
59,8716.95,1.28519,0.77195,0.94471,0.75397,0.53265,0.62325,0.36045,1.42034,0.94431,0.97497,0.000677543,0.000677543,0.000677543
60,8863.89,1.30248,0.77165,0.94772,0.74233,0.54582,0.6326,0.35908,1.42534,0.94079,0.987,0.000667789,0.000667789,0.000667789
61,9010.61,1.29843,0.7612,0.93575,0.75421,0.54905,0.63318,0.36468,1.4135,0.93596,0.99703,0.000657963,0.000657963,0.000657963
62,9157.27,1.28139,0.75619,0.93888,0.74985,0.55666,0.63887,0.36267,1.42669,0.94198,0.99778,0.000648071,0.000648071,0.000648071
63,9302.38,1.28495,0.75689,0.93945,0.7621,0.52972,0.63429,0.36301,1.42762,0.92447,0.9974,0.000638115,0.000638115,0.000638115
64,9448.45,1.2886,0.75297,0.94038,0.73889,0.55344,0.63474,0.36472,1.41551,0.92992,1.00044,0.000628101,0.000628101,0.000628101
65,9595.27,1.29298,0.75829,0.92763,0.71248,0.56486,0.63585,0.36502,1.41373,0.92102,0.99634,0.000618034,0.000618034,0.000618034
66,9741.4,1.28009,0.7572,0.92484,0.73712,0.56428,0.63797,0.3658,1.4041,0.9106,0.98296,0.000607916,0.000607916,0.000607916
67,9888.63,1.27171,0.7326,0.92993,0.72226,0.56867,0.64341,0.36844,1.40351,0.9047,0.99607,0.000597754,0.000597754,0.000597754
68,10034,1.24627,0.71601,0.93175,0.7681,0.54436,0.63272,0.36467,1.411,0.88933,0.99701,0.000587551,0.000587551,0.000587551
69,10180.9,1.27614,0.74267,0.92937,0.74678,0.55344,0.64139,0.36932,1.39606,0.89449,0.98599,0.000577311,0.000577311,0.000577311
70,10333.5,1.25165,0.73137,0.92909,0.75594,0.55416,0.63717,0.36963,1.40844,0.9143,0.99278,0.00056704,0.00056704,0.00056704
71,10489.3,1.28574,0.73665,0.92922,0.74207,0.5577,0.64368,0.36753,1.41194,0.92268,1.00017,0.000556742,0.000556742,0.000556742
72,10643.3,1.28193,0.74453,0.9259,0.72099,0.56525,0.6455,0.36788,1.4226,0.90574,0.99207,0.000546421,0.000546421,0.000546421
73,10795.3,1.23112,0.71848,0.92399,0.74219,0.5675,0.64334,0.36799,1.41289,0.89181,0.99505,0.000536081,0.000536081,0.000536081
74,10950.9,1.22565,0.71247,0.91761,0.73755,0.5634,0.64135,0.37016,1.39601,0.89634,0.98979,0.000525728,0.000525728,0.000525728
75,11100.5,1.22663,0.70082,0.92369,0.75684,0.55198,0.64102,0.36907,1.39327,0.88003,0.97151,0.000515366,0.000515366,0.000515366
76,11242.9,1.22973,0.70763,0.91913,0.73877,0.56369,0.64395,0.37415,1.39675,0.88536,0.98316,0.000505,0.000505,0.000505
77,11386.3,1.24567,0.70632,0.9188,0.7207,0.56594,0.64124,0.37167,1.39524,0.89442,0.9835,0.000494634,0.000494634,0.000494634
