epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,15930.8,1.15927,0.65472,1.15168,0.86093,0.76984,0.85292,0.53753,1.19217,0.58887,1.24965,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,16316.7,1.15555,0.65156,1.14696,0.8601,0.77268,0.85397,0.53835,1.19183,0.58611,1.2502,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,16704.2,1.14702,0.6451,1.15058,0.8619,0.77201,0.85216,0.53859,1.19151,0.58369,1.25106,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,17091.1,1.14855,0.64434,1.1466,0.86098,0.77295,0.85505,0.53992,1.18958,0.58172,1.24946,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,17474.1,1.14847,0.6445,1.14124,0.86163,0.77419,0.85511,0.53985,1.1892,0.58132,1.25142,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,17859.4,1.14121,0.63921,1.14097,0.86308,0.77231,0.85516,0.5403,1.1886,0.5801,1.25193,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,18243,1.1337,0.63625,1.13874,0.86179,0.77364,0.85553,0.54086,1.18783,0.58034,1.25223,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,18626.3,1.13071,0.63133,1.13373,0.85968,0.77536,0.85563,0.54085,1.18736,0.5788,1.25214,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,19010.1,1.13495,0.63492,1.13835,0.86106,0.77552,0.85648,0.54149,1.18722,0.57711,1.25378,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,19393.8,1.13017,0.6309,1.13467,0.86294,0.77486,0.85663,0.54131,1.18741,0.57659,1.25448,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,19778.5,1.11683,0.62315,1.13522,0.86544,0.77383,0.85692,0.54155,1.18703,0.57557,1.25686,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
