model_id,dataset_id,split,evaluation_group,experiment_folder,precision,recall,f1,map50,map75,map50_95,runtime_seconds,preprocess_ms,inference_ms,postprocess_ms,source_metrics_file
crowdhuman_only,citypersons_val,val,citypersons_val,crowdhuman_only_on_citypersons_val,0.6619148201137376,0.524573538227391,0.5852952483708734,0.499026673990431,0.289745074291687,0.2856280207195385,29.4754371529998,0.9768532699999924,17.04738878799253,2.4333850479943067,cross_dataset_validation/citypersons_val/crowdhuman_only_on_citypersons_val/metrics.csv
crowdhuman_to_citypersons,citypersons_val,val,citypersons_val,crowdhuman_to_citypersons_on_citypersons_val,0.7608485728709263,0.5985358711566617,0.6700020224335608,0.6764363043567381,0.409110061302134,0.4065983174981155,29.903709250999785,1.1243868459969235,17.136536317997525,2.8592679440007487,cross_dataset_validation/citypersons_val/crowdhuman_to_citypersons_on_citypersons_val/metrics.csv
caltech_only,crowdhuman_val,val,crowdhuman_val,caltech_only_on_crowdhuman_val,0.5015117200579704,0.3289702258312124,0.3973173038164639,0.3400394498208151,0.0752237328413961,0.1326769607852146,157.44370565400004,0.8505955167048743,23.30775317368503,1.1394934155610137,cross_dataset_validation/crowdhuman_val/caltech_only_on_crowdhuman_val/metrics.csv
caltech_to_citypersons,crowdhuman_val,val,crowdhuman_val,caltech_to_citypersons_on_crowdhuman_val,0.5900440619618287,0.367889383675854,0.45320673849577,0.412914045103503,0.1444252432137055,0.1863755606934435,145.59609322999995,0.8601058178500679,23.127391829977352,1.3128593608717378,cross_dataset_validation/crowdhuman_val/caltech_to_citypersons_on_crowdhuman_val/metrics.csv
citypersons_only,crowdhuman_val,val,crowdhuman_val,citypersons_only_on_crowdhuman_val,0.616263778392537,0.3637456698000295,0.4574716728666547,0.4150388935934974,0.1680536964292865,0.1987784382854735,142.93782395800008,0.8729073311205742,23.201572509839085,1.0918143247139809,cross_dataset_validation/crowdhuman_val/citypersons_only_on_crowdhuman_val/metrics.csv
citypersons_to_crowdhuman,crowdhuman_val,val,crowdhuman_val,citypersons_to_crowdhuman_on_crowdhuman_val,0.8590254862139386,0.797741687876217,0.8272501435542141,0.8725424770074577,0.5985254141248176,0.55854805611725,142.70870678699976,0.8748901336357802,23.06136708352522,1.141969764071905,cross_dataset_validation/crowdhuman_val/citypersons_to_crowdhuman_on_crowdhuman_val/metrics.csv
crowdhuman_only,crowdhuman_val,val,crowdhuman_val,crowdhuman_only_on_crowdhuman_val,0.8638188941234811,0.7976103906597181,0.829395427071676,0.874910563211606,0.6049364816620737,0.5634675174613692,140.7927052820005,0.8879698961086422,22.954383794281338,1.3029988032034978,cross_dataset_validation/crowdhuman_val/crowdhuman_only_on_crowdhuman_val/metrics.csv
crowdhuman_to_citypersons,crowdhuman_val,val,crowdhuman_val,crowdhuman_to_citypersons_on_crowdhuman_val,0.7267783515934891,0.5733850442370622,0.6410330249495548,0.6307822309836628,0.2867063342599584,0.3192701143227972,149.48606502199982,0.8793375768885113,23.22177557734529,1.230657387873232,cross_dataset_validation/crowdhuman_val/crowdhuman_to_citypersons_on_crowdhuman_val/metrics.csv
caltech_only,bdd100k_val,val,bdd100k_val,caltech_only_on_bdd100k_val,0.5261699321480368,0.2277936962750716,0.3179415801886482,0.2133066685509594,0.0359291650278379,0.0775144917483955,207.4219402589999,0.6617486576999226,17.168825721599887,0.4709065348997001,cross_dataset_validation/bdd100k_val/caltech_only_on_bdd100k_val/metrics.csv
caltech_to_citypersons,bdd100k_val,val,bdd100k_val,caltech_to_citypersons_on_bdd100k_val,0.6369810427268365,0.3963203136781782,0.4886251723095633,0.4314042648333742,0.1622475014229831,0.2008411812681648,215.87293132199989,0.6695975809995843,18.076115738100068,0.7223364922995414,cross_dataset_validation/bdd100k_val/caltech_to_citypersons_on_bdd100k_val/metrics.csv
citypersons_only,bdd100k_val,val,bdd100k_val,citypersons_only_on_bdd100k_val,0.6312764869665421,0.3702307344291962,0.4667324456668172,0.402930336904986,0.1540920658314537,0.1902638806746205,214.6164632189998,0.6447075454998867,18.082027219099995,0.7018908970000212,cross_dataset_validation/bdd100k_val/citypersons_only_on_bdd100k_val/metrics.csv
citypersons_to_crowdhuman,bdd100k_val,val,bdd100k_val,citypersons_to_crowdhuman_on_bdd100k_val,0.6855186549016179,0.4733071934851455,0.5599821769334686,0.4992312120332753,0.2098484968354588,0.2449938713267365,215.32708718599997,0.6674517948001721,18.01028825170047,0.7378111001003163,cross_dataset_validation/bdd100k_val/citypersons_to_crowdhuman_on_bdd100k_val/metrics.csv
crowdhuman_only,bdd100k_val,val,bdd100k_val,crowdhuman_only_on_bdd100k_val,0.6969535320489045,0.468255165133464,0.5601607540847817,0.4956204311547422,0.2134921346919161,0.2459010364941005,216.26093067099987,0.6724231680003641,18.04837877260036,0.7526646162000133,cross_dataset_validation/bdd100k_val/crowdhuman_only_on_bdd100k_val/metrics.csv
crowdhuman_to_citypersons,bdd100k_val,val,bdd100k_val,crowdhuman_to_citypersons_on_bdd100k_val,0.682025591964757,0.4138893077967124,0.515155146114678,0.4626068195063616,0.1871425406930495,0.2253010332758389,214.02010796900004,0.6799292298002001,17.980458384999654,0.702561999499585,cross_dataset_validation/bdd100k_val/crowdhuman_to_citypersons_on_bdd100k_val/metrics.csv
