epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,25973.1,1.10807,0.60599,1.15053,0.86149,0.77546,0.85588,0.53876,1.20159,0.57512,1.30648,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,26356.5,1.09745,0.59908,1.14158,0.8623,0.77519,0.85599,0.53873,1.20164,0.57468,1.30702,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,26738.2,1.09838,0.6008,1.14684,0.86118,0.77605,0.85426,0.53865,1.20178,0.57438,1.30732,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,27118.7,1.09641,0.597,1.1428,0.86211,0.77525,0.85609,0.53869,1.20186,0.57397,1.30757,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,27501.2,1.09421,0.59491,1.13848,0.86322,0.77492,0.85623,0.53876,1.20203,0.5739,1.30794,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,27881.4,1.09624,0.59302,1.13845,0.86288,0.77518,0.8563,0.5387,1.20215,0.57364,1.30837,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,28264.1,1.09277,0.59204,1.13959,0.86325,0.77448,0.85442,0.53857,1.20216,0.57327,1.30868,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,28648.1,1.0868,0.58752,1.13849,0.86317,0.77461,0.85625,0.53894,1.20224,0.57305,1.30887,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,29032.2,1.0794,0.58517,1.13374,0.86266,0.77521,0.85625,0.53883,1.20238,0.57296,1.30923,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,29414.5,1.08912,0.58493,1.13171,0.86309,0.77498,0.85642,0.53893,1.20249,0.57272,1.30966,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,29793.1,1.07252,0.57652,1.12366,0.8633,0.77492,0.85641,0.53898,1.20254,0.57249,1.30996,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,30171.9,1.06847,0.57806,1.12535,0.86283,0.77534,0.85642,0.53894,1.20271,0.57253,1.31037,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,30551.8,1.06926,0.57785,1.12561,0.86283,0.77542,0.85652,0.53902,1.20275,0.57221,1.3105,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,30932,1.06542,0.57645,1.12442,0.86329,0.77508,0.85642,0.53883,1.20299,0.57218,1.31106,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,31313.1,1.06737,0.57732,1.1228,0.86355,0.77513,0.85645,0.53873,1.20324,0.57202,1.3115,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,31695.9,1.0588,0.57018,1.12701,0.8635,0.77534,0.85644,0.53873,1.2032,0.57189,1.31178,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,32077.2,1.06191,0.57304,1.12389,0.86294,0.77568,0.85648,0.53871,1.20332,0.57181,1.31228,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
